old	new
RP11-10N16.2	RP11-10N16.2
RP11-10N16.3	RP11-10N16.3
GRHL3	GRHL3
STPG1	STPG1
NIPAL3	NIPAL3
RCAN3	RCAN3
RP4-594I10.3	RP4-594I10.3
NCMAP	NCMAP
RP11-496D1.2	RP11-496D1.2
SRRM1	SRRM1
CLIC4	CLIC4
RNU6-1208P	RNU6-1208P
RUNX3	RUNX3
MIR6731	MIR6731
RP11-84D1.1	RP11-84D1.1
RP11-84D1.2	RP11-84D1.2
MIR4425	MIR4425
RP4-799D16.1	RP4-799D16.1
RP4-781L3.1	RP4-781L3.1
RP4-706G24.1	RP4-706G24.1
SYF2	SYF2
RSRP1	RSRP1
RP3-465N24.6	RP3-465N24.6
RP3-465N24.5	RP3-465N24.5
RHD	RHD
SDHDP6	SDHDP6
RP11-335G20.7	RP11-335G20.7
TMEM50A	TMEM50A
RHCE	RHCE
RP3-469D22.1	RP3-469D22.1
TMEM57	MACO1
LDLRAP1	LDLRAP1
RP11-70P17.1	RP11-70P17.1
MAN1C1	MAN1C1
RP1-187B23.1	RP1-187B23.1
SEPN1	SELENON
RP1-317E23.6	RP1-317E23.6
RP1-317E23.3	RP1-317E23.3
MTFR1L	MTFR1L
RP1-317E23.7	RP1-317E23.7
AUNIP	AUNIP
RP1-125I3.2	RP1-125I3.2
PAQR7	PAQR7
STMN1	STMN1
SNRPFP2	SNRPFP2
RP1-125I3.4	RP1-125I3.4
PAFAH2	PAFAH2
RNU6-110P	RNU6-110P
SCARNA17	SCARNA17
SCARNA18	SCARNA18
EXTL1	EXTL1
SLC30A2	SLC30A2
TRIM63	TRIM63
PDIK1L	PDIK1L
FAM110D	FAM110D
RP11-96L14.8	RP11-96L14.8
RP11-96L14.7	RP11-96L14.7
ZNF593	ZNF593
CNKSR1	CNKSR1
CATSPER4	CATSPER4
RP11-231P20.2	RP11-231P20.2
RP11-231P20.6	RP11-231P20.6
CEP85	CEP85
RP11-231P20.5	RP11-231P20.5
SH3BGRL3	SH3BGRL3
UBXN11	UBXN11
CD52	CD52
AIM1L	CRYBG2
RP11-569G9.7	RP11-569G9.7
ZNF683	ZNF683
LIN28A	LIN28A
DHDDS	DHDDS
RP3-476K8.4	RP3-476K8.4
RP3-476K8.3	RP3-476K8.3
HMGN2	HMGN2
DPPA2P2	DPPA2P2
RPS6KA1	RPS6KA1
MIR1976	MIR1976
RN7SL679P	RN7SL679P
RNU7-29P	RNU7-29P
RP11-492M19.3	RP11-492M19.3
snoU13	snoU13
RP4-785J1.1	RP4-785J1.1
RP5-968P14.2	RP5-968P14.2
ARID1A	ARID1A
PIGV	PIGV
RN7SL165P	RN7SL165P
ZDHHC18	ZDHHC18
SFN	SFN
RP1-50O24.6	RP1-50O24.6
GPN2	GPN2
GPATCH3	GPATCH3
NUDC	NUDC
NR0B2	NR0B2
KDF1	KDF1
RPL12P13	RPL12P13
RP11-344H11.5	RP11-344H11.5
OSTCP2	OSTCP2
TRNP1	TRNP1
FAM46B	FAM46B
AL137860.1	AL137860.1
SLC9A1	SLC9A1
RP11-40H20.5	RP11-40H20.5
CHCHD3P3	CHCHD3P3
NPM1P39	NPM1P39
SNRPEP7	SNRPEP7
RP11-40H20.4	RP11-40H20.4
WDTC1	WDTC1
RP11-4K3__A.3	RP11-4K3__A.3
TMEM222	TMEM222
RNU6-48P	RNU6-48P
ACTG1P20	ACTG1P20
SYTL1	SYTL1
MAP3K6	MAP3K6
FCN3	FCN3
CD164L2	CD164L2
RP1-144C9.2	RP1-144C9.2
GPR3	GPR3
WASF2	WASF2
RP4-752I6.1	RP4-752I6.1
RP1-159A19.4	RP1-159A19.4
AHDC1	AHDC1
FGR	FGR
RP1-159A19.3	RP1-159A19.3
RP11-288L9.1	RP11-288L9.1
IFI6	IFI6
RP11-288L9.4	RP11-288L9.4
RNU6-949P	RNU6-949P
CHMP1AP1	CHMP1AP1
RNU6-424P	RNU6-424P
FAM76A	FAM76A
RP3-426I6.2	RP3-426I6.2
RPEP3	RPEP3
STX12	STX12
RP3-426I6.5	RP3-426I6.5
RP3-426I6.6	RP3-426I6.6
RNU6-1245P	RNU6-1245P
PPP1R8	PPP1R8
SCARNA1	SCARNA1
AL109927.1	AL109927.1
THEMIS2	THEMIS2
RPA2	RPA2
SMPDL3B	SMPDL3B
RP11-460I13.2	RP11-460I13.2
XKR8	XKR8
EYA3	EYA3
RP11-460I13.6	RP11-460I13.6
RN7SL559P	RN7SL559P
SPCS2P4	SPCS2P4
RP5-1053E7.2	RP5-1053E7.2
RP5-1053E7.3	RP5-1053E7.3
RNU6-176P	RNU6-176P
PTAFR	PTAFR
DNAJC8	DNAJC8
ATPIF1	ATP5IF1
RP5-1092A3.4	RP5-1092A3.4
RP5-1092A3.5	RP5-1092A3.5
SESN2	SESN2
MED18	MED18
PHACTR4	PHACTR4
RP1-308E4.1	RP1-308E4.1
RNU6ATAC27P	RNU6ATAC27P
RCC1	RCC1
SNHG3	SNHG3
SNORA73A	SNORA73A
SNORA73B	SNORA73B
PRDX3P2	PRDX3P2
RP4-669K10.8	RP4-669K10.8
